# !  MKO filter system                                                                                                                                                                                    



#   t (Gyr) =  0.001
#---------------------------------------------------------------------------------------------------------------------------

age_Gyr  M_Msun   Teff(K)   L/Ls  lg(g)   R(Gm)   D      Li            J             H            Ks        Lprime             M'          
0.004  0.0070  1750.   -3.60   3.81   1.21  1.0000  1.0000        11.832        11.188        10.467         9.457         9.480  
0.004  0.0080  1858.   -3.47   3.84   1.24  1.0000  1.0000        11.349        10.779        10.137         9.199         9.351  
0.004  0.0090  1951.   -3.36   3.86   1.29  1.0000  1.0000        10.992        10.414         9.797         8.930         9.040  
0.004  0.0100  2029.   -3.26   3.87   1.34  1.0000  1.0000        10.715        10.114         9.519         8.711         8.777  
0.004  0.0120  2152.   -3.10   3.90   1.42  1.0000  1.0000        10.352         9.790         9.238         8.491         8.583  
0.004  0.0150  2294.   -2.91   3.91   1.56  0.9900  1.0000         9.811         9.335         8.843         8.172         8.259  
0.004  0.0200  2456.   -2.64   3.88   1.86  0.9050  1.0000         9.173         8.703         8.247         7.642         7.682  
0.004  0.0300  2615.   -2.25   3.78   2.56  0.5450  1.0000         8.268         7.786         7.351         6.809         6.819  
0.004  0.0400  2751.   -2.01   3.76   3.05  0.1365  1.0000         7.721         7.224         6.821         6.324         6.320  
0.004  0.0500  2798.   -1.80   3.67   3.78  0.2370  1.0000         7.199         6.698         6.305         5.823         5.814  
0.004  0.0600  2854.   -1.80   3.79   3.60  0.0001  1.0000         7.225         6.712         6.339         5.878         5.874  
0.004  0.0700  2895.   -1.74   3.82   3.77  0.0000  1.0000         7.075         6.555         6.193         5.747         5.742  
0.004  0.0720  2902.   -1.72   3.82   3.82  0.0000  1.0000         7.039         6.517         6.158         5.714         5.710  
0.004  0.0750  2891.   -1.58   3.69   4.52  0.0011  1.0000         6.690         6.172         5.808         5.361         5.353  
0.004  0.0800  2925.   -1.68   3.83   3.97  0.0000  1.0000         6.926         6.400         6.046         5.611         5.608  
0.004  0.0900  2951.   -1.61   3.83   4.20  0.0000  1.0000         6.775         6.243         5.896         5.471         5.469  
0.004  0.1000  2957.   -1.48   3.75   4.87  0.0000  1.0000         6.447         5.913         5.568         5.147         5.144  
0.004  0.1100  3065.   -1.51   3.89   4.36  0.0000  1.0000         6.572         6.014         5.694         5.309         5.306  
0.004  0.1300  3105.   -1.43   3.90   4.68  0.0000  1.0000         6.373         5.805         5.494         5.122         5.119  
0.004  0.1500  3130.   -1.35   3.90   5.02  0.0000  1.0000         6.195         5.619         5.314         4.952         4.952  
0.004  0.1750  3162.   -1.27   3.90   5.40  0.0000  1.0000         6.003         5.418         5.119         4.769         4.775  
0.004  0.2000  3197.   -1.20   3.90   5.77  0.0000  1.0000         5.822         5.227         4.936         4.600         4.610  
0.004  0.2500  3270.   -1.06   3.90   6.43  0.0000  1.0000         5.513         4.898         4.619         4.310         4.333  
0.004  0.3000  3340.   -0.95   3.91   6.99  0.0000  1.0000         5.266         4.632         4.363         4.079         4.113  
0.004  0.3500  3400.   -0.86   3.91   7.54  0.0000  1.0000         5.049         4.399         4.139         3.874         3.919  
0.004  0.4000  3452.   -0.78   3.92   8.03  0.0000  1.0000         4.862         4.199         3.948         3.701         3.755  
0.004  0.4500  3492.   -0.70   3.91   8.53  0.0000  1.0000         4.693         4.020         3.775         3.542         3.604  
0.004  0.5000  3533.   -0.64   3.92   8.97  0.0000  0.9990         4.549         3.867         3.629         3.409         3.477  
0.004  0.5700  3584.   -0.56   3.92   9.54  0.0000  0.9980         4.372         3.680         3.450         3.246         3.321  
0.004  0.6000  3604.   -0.53   3.92   9.78  0.0000  0.9970         4.302         3.606         3.379         3.181         3.259  
0.004  0.6200  3619.   -0.51   3.92   9.95  0.0000  0.9960         4.251         3.552         3.328         3.134         3.215  
0.004  0.7000  3674.   -0.43   3.92  10.53  0.0000  0.9880         4.080         3.371         3.157         2.981         3.069  
0.004  0.7500  3703.   -0.39   3.92  10.88  0.0000  0.9780         3.984         3.269         3.062         2.894         2.986  
0.004  0.8000  3740.   -0.35   3.93  11.15  0.0000  0.9680         3.901         3.184         2.982         2.825         2.921  
